"name","published_day","avg_view_count"
"모양몬","Saturday","84977.77"
"모양몬","Wednesday","80843.68"
"미남홀란드","Monday","271684.06"
"미남홀란드","Friday","251065.22"
"미남홀란드","Thursday","219974.54"
"미남홀란드","Sunday","213809.37"
"미남홀란드","Wednesday","209308.83"
"미남홀란드","Saturday","202876.32"
"미남홀란드","Tuesday","202760.59"
"미야","Wednesday","339266.33"
"미야","Friday","313483.27"
"미야","Sunday","310539.29"
"미야","Saturday","277369.27"
"미야","Tuesday","237200.86"
"미야","Thursday","235160.22"
"미야","Monday","208748.50"
"버니버니","Tuesday","225577.87"
"버니버니","Wednesday","217785.21"
"버니버니","Monday","200324.08"
"버니버니","Friday","194788.31"
"버니버니","Sunday","192462.37"
"버니버니","Saturday","185796.49"
"버니버니","Thursday","181817.38"
"블루위키","Sunday","395013.29"
"블루위키","Saturday","372478.49"
"블루위키","Wednesday","366978.33"
"블루위키","Thursday","366421.40"
"블루위키","Monday","342932.65"
"블루위키","Friday","339751.57"
"블루위키","Tuesday","331668.43"
"삐야기","Sunday","202525.25"
"삐야기","Saturday","196394.56"
"삐야기","Monday","195675.38"
"삐야기","Tuesday","191711.85"
"삐야기","Friday","190531.81"
"삐야기","Thursday","184628.98"
"삐야기","Wednesday","180803.93"
"소행성612","Thursday","100172.84"
"소행성612","Saturday","42629.19"
"소행성612","Sunday","41131.67"
"소행성612","Tuesday","39375.48"
"소행성612","Friday","24971.56"
"소행성612","Wednesday","24127.42"
"소행성612","Monday","21479.76"
"송사리","Sunday","47915.75"
"송사리","Friday","37591.67"
"송사리","Tuesday","24926.75"
"송사리","Monday","22354.33"
"송사리","Thursday","7696.71"
"송사리","Saturday","6349.67"
"송사리","Wednesday","2697.50"
"순규박","Friday","17468.15"
"순규박","Sunday","17154.28"
"순규박","Thursday","16925.90"
"순규박","Monday","15259.19"
"순규박","Tuesday","13616.08"
"순규박","Saturday","13496.74"
"순규박","Wednesday","12534.08"
"스나랑","Tuesday","42729.37"
"스나랑","Sunday","35940.40"
"스나랑","Thursday","34909.32"
"스나랑","Monday","34007.40"
"스나랑","Friday","31842.11"
"스나랑","Saturday","30431.82"
"스나랑","Wednesday","29921.25"
"스틸로","Tuesday","94914.56"
"스틸로","Monday","92145.15"
"스틸로","Friday","88086.67"
"스틸로","Sunday","84641.82"
"스틸로","Saturday","84522.13"
"스틸로","Thursday","79792.43"
"스틸로","Wednesday","74129.20"
"신해조","Saturday","209642.72"
"신해조","Tuesday","202635.39"
"신해조","Sunday","191789.87"
"신해조","Friday","182749.16"
"신해조","Monday","171139.63"
"신해조","Wednesday","163889.19"
"신해조","Thursday","162105.99"
"아빠킹","Friday","95540.52"
"아빠킹","Monday","93701.63"
"아빠킹","Sunday","90588.38"
"아빠킹","Saturday","88250.83"
"아빠킹","Wednesday","84559.04"
"아빠킹","Tuesday","81110.34"
"아빠킹","Thursday","78991.50"
"윤가놈","Tuesday","26982.08"
"윤가놈","Thursday","25075.52"
"윤가놈","Saturday","24805.57"
"윤가놈","Wednesday","24791.19"
"윤가놈","Friday","24325.32"
"윤가놈","Sunday","23378.72"
"윤가놈","Monday","23203.67"
"이석현","Friday","112905.20"
"이석현","Monday","106155.93"
"이석현","Saturday","106093.92"
"이석현","Sunday","102010.75"
"이석현","Tuesday","101328.23"
"이석현","Wednesday","98971.88"
"이석현","Thursday","96474.13"
"이재석","Friday","104392.74"
"이재석","Tuesday","102527.61"
"이재석","Sunday","101010.45"
"이재석","Thursday","100934.87"
"이재석","Wednesday","100842.91"
"이재석","Saturday","94345.88"
"이재석","Monday","88284.35"
"이클리피아","Wednesday","18161.44"
"이클리피아","Sunday","13744.53"
"이클리피아","Tuesday","11205.66"
"이클리피아","Thursday","11148.02"
"이클리피아","Saturday","10932.35"
"이클리피아","Monday","10359.72"
"이클리피아","Friday","9823.42"
"인섹","Tuesday","67386.12"
"인섹","Wednesday","66699.69"
"인섹","Sunday","66413.09"
"인섹","Thursday","63323.95"
"인섹","Monday","59678.74"
"인섹","Friday","59011.12"
"인섹","Saturday","55544.24"
"전쓰트","Saturday","223566.13"
"전쓰트","Sunday","217318.29"
"전쓰트","Monday","211924.95"
"전쓰트","Tuesday","206217.30"
"전쓰트","Friday","205624.46"
"전쓰트","Thursday","205234.18"
